year,month,day,dow,don,color,wnum,tmp1,tmp2,tmp3
2020,4,6,Mon,,,2,4月6日,Mon,2
2020,4,7,Tue,,,2,4月7日,Tue,2
2020,4,8,Wed,,,2,4月8日,Wed,2
2020,4,9,Thu,,,2,4月9日,Thu,2
2020,4,10,Fri,,,2,4月10日,Fri,2
2020,4,11,Sat,,FFD9C1,2,4月11日,Sat,2
2020,4,12,Sun,,FFB6C1,3,4月12日,Sun,3
2020,4,13,Mon,,,3,4月13日,Mon,3
2020,4,14,Tue,,,3,4月14日,Tue,3
2020,4,15,Wed,,,3,4月15日,Wed,3
2020,4,16,Thu,,,3,4月16日,Thu,3
2020,4,17,Fri,,,3,4月17日,Fri,3
2020,4,18,Sat,,FFD9C1,3,4月18日,Sat,3
2020,4,19,Sun,,FFB6C1,4,4月19日,Sun,4
2020,4,20,Mon,,,4,4月20日,Mon,4
2020,4,21,Tue,,,4,4月21日,Tue,4
2020,4,22,Wed,,,4,4月22日,Wed,4
2020,4,23,Thu,,,4,4月23日,Thu,4
2020,4,24,Fri,,,4,4月24日,Fri,4
2020,4,25,Sat,,FFD9C1,4,4月25日,Sat,4
2020,4,26,Sun,,FFB6C1,5,4月26日,Sun,5
2020,4,27,Mon,,,5,4月27日,Mon,5
2020,4,28,Tue,,,5,4月28日,Tue,5
2020,4,29,Wed,Showa Day,FFB6C1,5,4月29日,Wed,5
2020,4,30,Thu,,,5,4月30日,Thu,5
2020,5,1,Fri,,,1,5月1日,Fri,1
2020,5,2,Sat,,FFD9C1,1,5月2日,Sat,1
2020,5,3,Sun,Constitution Memorial Day,FFB6C1,2,5月3日,Sun,2
2020,5,4,Mon,Greenery Day,FFB6C1,2,5月4日,Mon,2
2020,5,5,Tue,Children’s Day,FFB6C1,2,5月5日,Tue,2
2020,5,6,Wed,Substitute Holiday,FFB6C1,2,5月6日,Wed,2
2020,5,7,Thu,,,2,5月7日,Thu,2
2020,5,8,Fri,,,2,5月8日,Fri,2
2020,5,9,Sat,,FFD9C1,2,5月9日,Sat,2
2020,5,10,Sun,,FFB6C1,3,5月10日,Sun,3
2020,5,11,Mon,,,3,5月11日,Mon,3
2020,5,12,Tue,,,3,5月12日,Tue,3
2020,5,13,Wed,,,3,5月13日,Wed,3
2020,5,14,Thu,,,3,5月14日,Thu,3
2020,5,15,Fri,,,3,5月15日,Fri,3
2020,5,16,Sat,,FFD9C1,3,5月16日,Sat,3
2020,5,17,Sun,,FFB6C1,4,5月17日,Sun,4
2020,5,18,Mon,,,4,5月18日,Mon,4
2020,5,19,Tue,,,4,5月19日,Tue,4
2020,5,20,Wed,,,4,5月20日,Wed,4
2020,5,21,Thu,,,4,5月21日,Thu,4
2020,5,22,Fri,,,4,5月22日,Fri,4
2020,5,23,Sat,,FFD9C1,4,5月23日,Sat,4
2020,5,24,Sun,,FFB6C1,5,5月24日,Sun,5
2020,5,25,Mon,,,5,5月25日,Mon,5
2020,5,26,Tue,,,5,5月26日,Tue,5
2020,5,27,Wed,,,5,5月27日,Wed,5
2020,5,28,Thu,,,5,5月28日,Thu,5
2020,5,29,Fri,,,5,5月29日,Fri,5
2020,5,30,Sat,,FFD9C1,5,5月30日,Sat,5
2020,5,31,Sun,,FFB6C1,6,5月31日,Sun,6
2020,6,1,Mon,,,1,6月1日,Mon,1
2020,6,2,Tue,,,1,6月2日,Tue,1
2020,6,3,Wed,,,1,6月3日,Wed,1
2020,6,4,Thu,,,1,6月4日,Thu,1
2020,6,5,Fri,,,1,6月5日,Fri,1
2020,6,6,Sat,,FFD9C1,1,6月6日,Sat,1
2020,6,7,Sun,,FFB6C1,2,6月7日,Sun,2
2020,6,8,Mon,,,2,6月8日,Mon,2
2020,6,9,Tue,,,2,6月9日,Tue,2
2020,6,10,Wed,,,2,6月10日,Wed,2
2020,6,11,Thu,,,2,6月11日,Thu,2
2020,6,12,Fri,,,2,6月12日,Fri,2
2020,6,13,Sat,,FFD9C1,2,6月13日,Sat,2
2020,6,14,Sun,,FFB6C1,3,6月14日,Sun,3
2020,6,15,Mon,,,3,6月15日,Mon,3
2020,6,16,Tue,,,3,6月16日,Tue,3
2020,6,17,Wed,,,3,6月17日,Wed,3
2020,6,18,Thu,,,3,6月18日,Thu,3
2020,6,19,Fri,,,3,6月19日,Fri,3
2020,6,20,Sat,,FFD9C1,3,6月20日,Sat,3
2020,6,21,Sun,,FFB6C1,4,6月21日,Sun,4
2020,6,22,Mon,,,4,6月22日,Mon,4
2020,6,23,Tue,,,4,6月23日,Tue,4
2020,6,24,Wed,,,4,6月24日,Wed,4
2020,6,25,Thu,,,4,6月25日,Thu,4
2020,6,26,Fri,,,4,6月26日,Fri,4
2020,6,27,Sat,,FFD9C1,4,6月27日,Sat,4
2020,6,28,Sun,,FFB6C1,5,6月28日,Sun,5
2020,6,29,Mon,,,5,6月29日,Mon,5
2020,6,30,Tue,,,5,6月30日,Tue,5
2020,7,1,Wed,,,1,7月1日,Wed,1
2020,7,2,Thu,,,1,7月2日,Thu,1
